nama,alamat,deskripsi,kategori
PT. Propan Raya Industrial Coating Chemicals,Jl. Gatot Subroto KM. 8 Kel. Kadu Jaya Kec. Curug Kab. Tangerang,,Swasta Kecil
Trans News Corpora,"GEDUNG TRANSMEDIA LT. 3, JL KAPTEN TENDEAN KAV 12-14",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Veteran no. 49,,Negeri
"PT. Saranacentral Bajatama, Tbk","Jl. Raya Tamelang, Kp. Karajan Ds. Mekarjaya RT.002 RW.001
Kec. Purwasari Kab. Karawang",,Swasta Kecil
Perusahaan Perseroan (Persero) PT. Hutama Karya,"HK TOWER JL.LETJEN MT. HARYONO KAV. 8, Desa/Kelurahan
Cipinang Cempedak, Kec. Jatinegara, Kota Adm. Jakarta Timur",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Thayib RH No. 1 - 12,,Negeri
PT Jasa Marga (Persero) Tbk,PLAZA TOL TAMAN MINI INDONESIA INDAH,,Swasta Besar
Triconville Indonesia,"JL. RAYA TAHUNAN BATEALIT RT 026 RW 005, KELURAHAN BAWU, KECAMATAN BAWU
KABUPATEN JEPARA, JAWA TENGAH",,Negeri
Midi Utama Indonesia,GEDUNG ALFA TOWER LANTAI 12 JL JALUR SUTERA BARAT KAV. 7-9 ALAM SUTERA,,Swasta Kecil
Alfa Retailindo,"Gedung Transmart Cempaka Putih Lantai 3, Jalan Jenderal Ahmad Yani Nomor 83",,Swasta Kecil
Opu Barakati Jaya,"Jl. Nasrun Amrullah (Turikale Print) Kel. Pettuadae, Kec. Turikale, Kab. Maros, Sulawesi Selatan",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Komplek Pertokoan Duta Merlin Blok A 1-2-3 Jl. Gajah Mada No. 3-5 Jakarta Pusat,,Negeri
Artha Karya Manunggal Jaya,JALAN BUKIT GADING RAYA KAVLING 1,,Swasta Kecil
Pembangunan Perumahan Nasional,JL. D.I. PANDJAITAN KAVLING 11,,Swasta Kecil
Techno Gis Indonesia,"Jalan Murai No 11, Besi",,Swasta Kecil
Netindo Solution Group,"Jl. Gatotkaca No. 405 Jurugentong, Banguntapan, Bantul",,Swasta Kecil
PT Nutrifood Indonesia (Head Office Jakarta),"Jalan Rawabali II No.3, Kawasan Industri Pulogadung, Jakarta Timur",,Swasta Besar
"PT. Bali Towerindo Sentra, Tbk.","Autograph Tower Lantai 77 Jl. MH Thamrin Plaza UOB No.10, RT.14/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",,Swasta Kecil
Mutuagung Lestari,"JALAN RAYA BOGOR KM 33,5 NOMOR 19",,Swasta Kecil
Perusahaan Perseroan (Persero) PT. Bank Tabungan Negara,"Gedung Menara BTN Jl Gajah Mada No, 1",,Swasta Besar
"Upt, Solo Technopark Kota",Jalan Ki Hajar Dewantara,,Swasta Kecil
Ok Oce Sosial Kemanusiaan,"Jl. Tebet Barat Dalam VII No.3, RT.9/RW.6, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",,Swasta Kecil
Perusahaan Perseroan (Persero) PT. Asuransi Kredit Indonesia,Graha Askrindo Jl. Angkasa Blok B-9 Kav. 8,,Swasta Besar
PT Aeon Indonesia,"Mal Ciputra Tangerang Lantai LG Unit B1
Jalan CitraRaya Boulevard Blok R. 01 A No. 01",,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl RE Martadinata no 63-65 Sukabumi,,Negeri
Kolaborasi Ekosistem Masyarakat Indonesia,Jalan Cempaka Putih Barat III Nomor 17 B,,Swasta Kecil
Hacktivate Teknologi Indonesia,"Traveloka Campus (d/h Green Office Park 1) South Tower, Lantai 6, Zona 7 Jl. Grand Boulevard, BSD Green Office Park, BSD City Desa Sampora, Kecamatan Cisauk, Kabupaten Tangerang, Banten 15345",,Negeri
PT Kereta Api Indonesia (Persero),JL. PERINTIS KEMERDEKAAN NO. 1 BANDUNG,,Swasta Besar
Dapur Pandan Raya,Jalan Raya Serang KM.9,,Swasta Kecil
